code,title,reason
V73.6,"ავტობუსში მყოფი პირი, დაზარალებული მსუბუქ ავტომანქანასთან, საბარგო პიკაპთან ან ფურგონთან შეჯახებისას. მგზავრი, დაზარალებული საგზაო შემთხვევაში (V73",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
V74.4,"ავტობუსში მყოფი პირი, დაზარალებული მძიმე სატვირთო ავტომანქანასთან ან ავტობუსთან შეჯახებისას, პიროვნება, დაზარალებული ჩასხდომისას ან გადმოსვლისას (V74.",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
V75.5,"ავტობუსში მყოფი პირი, დაზარალებული მატარებელთან ან სხვა სარკინიგზო სატრანსპორტო საშუალებასთან შეჯახებისას. მძღოლი, დაზარალებული საგზაო შემთხვევაში (",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
V77.3,"ავტობუსში მყოფი პირი, დაზარალებულ დამაგრებული ან უძრავ ობიექტთან შეჯახებისას.ავტობუსში მყოფი დაუზუსტებელი პირი, დაზარალებული არასაგზაო შემთხვევაში (V7",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
V77.9,"ავტობუსში მყოფი პირი, დაზარალებულ დამაგრებული ან უძრავ ობიექტთან შეჯახებისას. ავტობუსში მყოფი დაუზუსტებელი პირი დაზარალებული საგზაო შემთხვევაში. (V77.",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
V78.3,"ავტობუსში მყოფი პირი, დაზარალებული სატრანსპორტო შემთხვევაში, შეჯახების გარეშე, ავტობუსში მყოფი დაუზუსტებელი პირი, დაზარალებული არასაგზაო შემთხვევაში (",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
V78.9,"ავტობუსში მყოფი პირი, დაზარალებული სატრანსპორტო შემთხვევაში, შეჯახების გარეშე, ავტობუსში მყოფი დაუზუსტებელი პირი დაზარალებული საგზაო შემთხვევაში. (V78",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
V79.6,"ავტობუსში მყოფი დაუზუსტებელი პირი, დაზარალებული სხვა და დაუზუსტებელ ძრავიან სატრანსპორტო საშუალებასთან შეჯახებისას საგზაო უბედური შემთხვევის შედეგად (",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
V81.7,"მატარებელში ან სხვა სარკინიგზო სატრანსპორტო საშუალებში მყოფიპირი, დაზარალებული შემადგენლობის ლიანდაგიდან გადასვლისას, წინამორბედი შეჯახების გარეშე. (V",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
V86.3,"ყველგანმავალში და სხვა უპირატესად მაღალი გამავლობის სატრანსპორტო საშუალებაში მყოფი დაზუსტებული პირი, დაზარალებული საგზაო უბედური შემთხვევის შედეგად (",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
V86.7,"პიროვნება, ყველგანმავალის ან სხვა უპირატესად მაღალი გამავლობის სატრანსპორტო საშუალების გარეთ დაზარალებული არასაგზაო უბედური შემთხვევის შედეგად (V86.7",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
V87.9,"პირი, დაზარალებული სხვა დაზუსტებულ სატრანსპორტო (საგზაო) შემთხვევაში, რომელშიც მონაწილეობს არაძრავიანი სატრანსპორტო საშუალება (შეჯახებით) (შეჯახების",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
V88.9,"პირი, დაზარალებული სხვა დაზუსტებულ სატრანსპორტო არასაგზაო შემთხვევაში, რომელშიც მონაწილეობდა არაძრავიანი სატრანსპორტო საშუალება (შეჯახებით) (შეჯახების",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
Y70.2,"საანესთეზიო ხელსაწყოები, რომლებთანაც არის დაკავშირებული უბედური შემთხვევები - პროტეზები ან სხვა იმპლანტანტები, მასალები და შესაბამისი მოწყობილობები (Y",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
Y70.3,"საანესთეზიო ხელსაწყოები, რომლებთანაც არის დაკავშირებული უბედური შემთხვევები - ქირურგიული ინსტრუმენტები, მასალები და ხელსაწყოები (საკერავი მასალის ჩათვ",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
Y71.1,"გულ-სისხლძარღვთა სისტემის ავადმყოფობების სადიაგნოსტიკო და სამკურნალო ხელსაწყოები, რომლებთანაც არის დაკავშირებული უბედური შემთხვევები - თერაპიული (არაქ",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
Y78.2,"რადიოლოგიური ხელსაწყოები, რომლებთანაც არის დაკავშირებული უბედური შემთხვევები -პროტეზები ან სხვა იმპლანტანტები, მასალები და შესაბამისი მოწყობილობები (Y",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
Y78.3,"რადიოლოგიური ხელსაწყოები, რომლებთანაც არის დაკავშირებული უბედური შემთხვევები - ქირურგიული ინსტრუმენტები, მასალები და ხელსაწყოები (საკერავი მასალის ჩათ",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
Y79.2,"ორთოპედიული ხელსაწყოები, რომლებთანაც არის დაკავშირებული უბედური შემთხვევები - პროტეზები ან სხვა იმპლანტანტები, მასალები და შესაბამისი მოწყობილობები (Y",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
